"PMMID","MeterName","kWh","DateTime"
34,"MDB6-2",2439754,2017-05-20 23:48:00
31,"MDB2-2",1500013,2017-05-20 23:48:00
28,"MDB1-1",2442884,2017-05-20 23:48:00
32,"MDB4-2",81945362,2017-05-20 23:48:00
25,"MDB7-1",1523114,2017-05-20 23:48:00
30,"MDB3-2",876579,2017-05-20 23:48:00
175,"MDB3-1",320667,2017-05-20 23:48:00
36,"MDB4-1",2147550,2017-05-20 23:48:00
29,"MDB2-1",2249120,2017-05-20 23:47:00
26,"MDB7-2",3896371,2017-05-20 23:47:00
34,"MDB6-2",2439751,2017-05-20 23:47:00
37,"MDB5-1",123237,2017-05-20 23:47:00
31,"MDB2-2",1500004,2017-05-20 23:47:00
35,"MDB6-1",1880920,2017-05-20 23:47:00
28,"MDB1-1",2442870,2017-05-20 23:47:00
175,"MDB3-1",320661,2017-05-20 23:47:00
32,"MDB4-2",81945343,2017-05-20 23:47:00
30,"MDB3-2",876579,2017-05-20 23:47:00
25,"MDB7-1",1523106,2017-05-20 23:47:00
36,"MDB4-1",2147541,2017-05-20 23:47:00
33,"MDB2-3",7180203,2017-05-20 23:46:00
34,"MDB6-2",2439747,2017-05-20 23:46:00
37,"MDB5-1",123236,2017-05-20 23:46:00
32,"MDB4-2",81945323,2017-05-20 23:46:00
36,"MDB4-1",2147532,2017-05-20 23:46:00
175,"MDB3-1",320654,2017-05-20 23:46:00
25,"MDB7-1",1523099,2017-05-20 23:46:00
30,"MDB3-2",876579,2017-05-20 23:46:00
28,"MDB1-1",2442857,2017-05-20 23:46:00
29,"MDB2-1",2249100,2017-05-20 23:45:00
35,"MDB6-1",1880913,2017-05-20 23:45:00
31,"MDB2-2",1499988,2017-05-20 23:45:00
37,"MDB5-1",123236,2017-05-20 23:45:00
33,"MDB2-3",7180200,2017-05-20 23:45:00
28,"MDB1-1",2442842,2017-05-20 23:45:00
32,"MDB4-2",81945304,2017-05-20 23:45:00
36,"MDB4-1",2147523,2017-05-20 23:45:00
30,"MDB3-2",876579,2017-05-20 23:45:00
175,"MDB3-1",320647,2017-05-20 23:45:00
25,"MDB7-1",1523092,2017-05-20 23:45:00
29,"MDB2-1",2249089,2017-05-20 23:44:00
33,"MDB2-3",7180198,2017-05-20 23:44:00
31,"MDB2-2",1499979,2017-05-20 23:44:00
34,"MDB6-2",2439741,2017-05-20 23:44:00
37,"MDB5-1",123235,2017-05-20 23:44:00
35,"MDB6-1",1880908,2017-05-20 23:44:00
30,"MDB3-2",876579,2017-05-20 23:44:00
25,"MDB7-1",1523084,2017-05-20 23:44:00
28,"MDB1-1",2442828,2017-05-20 23:44:00
36,"MDB4-1",2147514,2017-05-20 23:44:00
32,"MDB4-2",81945284,2017-05-20 23:44:00
175,"MDB3-1",320640,2017-05-20 23:44:00
34,"MDB6-2",2439738,2017-05-20 23:43:00
33,"MDB2-3",7180196,2017-05-20 23:43:00
31,"MDB2-2",1499971,2017-05-20 23:43:00
35,"MDB6-1",1880905,2017-05-20 23:43:00
30,"MDB3-2",876579,2017-05-20 23:43:00
32,"MDB4-2",81945265,2017-05-20 23:43:00
25,"MDB7-1",1523077,2017-05-20 23:43:00
28,"MDB1-1",2442814,2017-05-20 23:43:00
175,"MDB3-1",320633,2017-05-20 23:43:00
36,"MDB4-1",2147505,2017-05-20 23:43:00
29,"MDB2-1",2249068,2017-05-20 23:42:00
33,"MDB2-3",7180194,2017-05-20 23:42:00
31,"MDB2-2",1499962,2017-05-20 23:42:00
35,"MDB6-1",1880901,2017-05-20 23:42:00
37,"MDB5-1",123234,2017-05-20 23:42:00
34,"MDB6-2",2439734,2017-05-20 23:42:00
25,"MDB7-1",1523070,2017-05-20 23:42:00
28,"MDB1-1",2442800,2017-05-20 23:42:00
36,"MDB4-1",2147495,2017-05-20 23:42:00
175,"MDB3-1",320626,2017-05-20 23:42:00
32,"MDB4-2",81945245,2017-05-20 23:42:00
30,"MDB3-2",876579,2017-05-20 23:42:00
29,"MDB2-1",2249058,2017-05-20 23:41:00
34,"MDB6-2",2439731,2017-05-20 23:41:00
35,"MDB6-1",1880897,2017-05-20 23:41:00
33,"MDB2-3",7180192,2017-05-20 23:41:00
31,"MDB2-2",1499954,2017-05-20 23:41:00
37,"MDB5-1",123233,2017-05-20 23:41:00
36,"MDB4-1",2147487,2017-05-20 23:41:00
32,"MDB4-2",81945226,2017-05-20 23:41:00
30,"MDB3-2",876579,2017-05-20 23:41:00
28,"MDB1-1",2442786,2017-05-20 23:41:00
175,"MDB3-1",320618,2017-05-20 23:41:00
25,"MDB7-1",1523063,2017-05-20 23:41:00
29,"MDB2-1",2249047,2017-05-20 23:40:00
33,"MDB2-3",7180190,2017-05-20 23:40:00
31,"MDB2-2",1499945,2017-05-20 23:40:00
35,"MDB6-1",1880893,2017-05-20 23:40:00
34,"MDB6-2",2439728,2017-05-20 23:40:00
28,"MDB1-1",2442772,2017-05-20 23:40:00
175,"MDB3-1",320611,2017-05-20 23:40:00
32,"MDB4-2",81945207,2017-05-20 23:40:00
25,"MDB7-1",1523055,2017-05-20 23:40:00
36,"MDB4-1",2147478,2017-05-20 23:40:00
30,"MDB3-2",876579,2017-05-20 23:40:00
29,"MDB2-1",2249037,2017-05-20 23:39:00
33,"MDB2-3",7180188,2017-05-20 23:39:00
34,"MDB6-2",2439725,2017-05-20 23:39:00
35,"MDB6-1",1880889,2017-05-20 23:39:00
175,"MDB3-1",320605,2017-05-20 23:39:00
28,"MDB1-1",2442757,2017-05-20 23:39:00
36,"MDB4-1",2147468,2017-05-20 23:39:00
32,"MDB4-2",81945188,2017-05-20 23:39:00
25,"MDB7-1",1523048,2017-05-20 23:39:00
30,"MDB3-2",876579,2017-05-20 23:39:00
35,"MDB6-1",1880885,2017-05-20 23:38:00
37,"MDB5-1",123231,2017-05-20 23:38:00
31,"MDB2-2",1499929,2017-05-20 23:38:00
34,"MDB6-2",2439722,2017-05-20 23:38:00
32,"MDB4-2",81945168,2017-05-20 23:38:00
25,"MDB7-1",1523040,2017-05-20 23:38:00
36,"MDB4-1",2147459,2017-05-20 23:38:00
175,"MDB3-1",320598,2017-05-20 23:38:00
30,"MDB3-2",876579,2017-05-20 23:38:00
28,"MDB1-1",2442743,2017-05-20 23:38:00
29,"MDB2-1",2249015,2017-05-20 23:37:00
33,"MDB2-3",7180183,2017-05-20 23:37:00
37,"MDB5-1",123230,2017-05-20 23:37:00
34,"MDB6-2",2439719,2017-05-20 23:37:00
30,"MDB3-2",876579,2017-05-20 23:37:00
175,"MDB3-1",320591,2017-05-20 23:37:00
25,"MDB7-1",1523033,2017-05-20 23:37:00
32,"MDB4-2",81945148,2017-05-20 23:37:00
36,"MDB4-1",2147449,2017-05-20 23:37:00
28,"MDB1-1",2442729,2017-05-20 23:37:00
37,"MDB5-1",123230,2017-05-20 23:36:00
33,"MDB2-3",7180181,2017-05-20 23:36:00
34,"MDB6-2",2439716,2017-05-20 23:36:00
35,"MDB6-1",1880878,2017-05-20 23:36:00
32,"MDB4-2",81945129,2017-05-20 23:36:00
175,"MDB3-1",320584,2017-05-20 23:36:00
25,"MDB7-1",1523026,2017-05-20 23:36:00
36,"MDB4-1",2147439,2017-05-20 23:36:00
28,"MDB1-1",2442714,2017-05-20 23:36:00
30,"MDB3-2",876579,2017-05-20 23:36:00
29,"MDB2-1",2248993,2017-05-20 23:35:00
35,"MDB6-1",1880874,2017-05-20 23:35:00
34,"MDB6-2",2439712,2017-05-20 23:35:00
32,"MDB4-2",81945110,2017-05-20 23:35:00
28,"MDB1-1",2442700,2017-05-20 23:35:00
175,"MDB3-1",320577,2017-05-20 23:35:00
36,"MDB4-1",2147430,2017-05-20 23:35:00
25,"MDB7-1",1523018,2017-05-20 23:35:00
30,"MDB3-2",876579,2017-05-20 23:35:00
29,"MDB2-1",2248982,2017-05-20 23:34:00
35,"MDB6-1",1880870,2017-05-20 23:34:00
37,"MDB5-1",123228,2017-05-20 23:34:00
32,"MDB4-2",81945091,2017-05-20 23:34:00
36,"MDB4-1",2147420,2017-05-20 23:34:00
28,"MDB1-1",2442685,2017-05-20 23:34:00
25,"MDB7-1",1523011,2017-05-20 23:34:00
30,"MDB3-2",876579,2017-05-20 23:34:00
175,"MDB3-1",320570,2017-05-20 23:34:00
29,"MDB2-1",2248971,2017-05-20 23:33:00
35,"MDB6-1",1880866,2017-05-20 23:33:00
34,"MDB6-2",2439707,2017-05-20 23:33:00
33,"MDB2-3",7180175,2017-05-20 23:33:00
31,"MDB2-2",1499886,2017-05-20 23:33:00
37,"MDB5-1",123228,2017-05-20 23:33:00
30,"MDB3-2",876579,2017-05-20 23:33:00
175,"MDB3-1",320564,2017-05-20 23:33:00
28,"MDB1-1",2442671,2017-05-20 23:33:00
36,"MDB4-1",2147410,2017-05-20 23:33:00
25,"MDB7-1",1523004,2017-05-20 23:33:00
32,"MDB4-2",81945071,2017-05-20 23:33:00
29,"MDB2-1",2248962,2017-05-20 23:32:00
37,"MDB5-1",123227,2017-05-20 23:32:00
33,"MDB2-3",7180173,2017-05-20 23:32:00
31,"MDB2-2",1499878,2017-05-20 23:32:00
34,"MDB6-2",2439703,2017-05-20 23:32:00
35,"MDB6-1",1880862,2017-05-20 23:32:00
175,"MDB3-1",320557,2017-05-20 23:32:00
30,"MDB3-2",876579,2017-05-20 23:32:00
25,"MDB7-1",1522996,2017-05-20 23:32:00
32,"MDB4-2",81945051,2017-05-20 23:32:00
36,"MDB4-1",2147400,2017-05-20 23:32:00
28,"MDB1-1",2442657,2017-05-20 23:32:00
29,"MDB2-1",2248950,2017-05-20 23:31:00
34,"MDB6-2",2439701,2017-05-20 23:31:00
33,"MDB2-3",7180171,2017-05-20 23:31:00
35,"MDB6-1",1880858,2017-05-20 23:31:00
31,"MDB2-2",1499869,2017-05-20 23:31:00
36,"MDB4-1",2147391,2017-05-20 23:31:00
28,"MDB1-1",2442642,2017-05-20 23:31:00
32,"MDB4-2",81945032,2017-05-20 23:31:00
30,"MDB3-2",876579,2017-05-20 23:31:00
175,"MDB3-1",320550,2017-05-20 23:31:00
25,"MDB7-1",1522989,2017-05-20 23:31:00
26,"MDB7-2",3896280,2017-05-20 23:31:00
29,"MDB2-1",2248939,2017-05-20 23:30:00
33,"MDB2-3",7180168,2017-05-20 23:30:00
31,"MDB2-2",1499861,2017-05-20 23:30:00
35,"MDB6-1",1880854,2017-05-20 23:30:00
30,"MDB3-2",876579,2017-05-20 23:30:00
36,"MDB4-1",2147381,2017-05-20 23:30:00
32,"MDB4-2",81945013,2017-05-20 23:30:00
25,"MDB7-1",1522982,2017-05-20 23:30:00
175,"MDB3-1",320544,2017-05-20 23:30:00
28,"MDB1-1",2442627,2017-05-20 23:30:00
29,"MDB2-1",2248928,2017-05-20 23:29:00
31,"MDB2-2",1499853,2017-05-20 23:29:00
33,"MDB2-3",7180166,2017-05-20 23:29:00
34,"MDB6-2",2439694,2017-05-20 23:29:00
37,"MDB5-1",123225,2017-05-20 23:29:00
35,"MDB6-1",1880850,2017-05-20 23:29:00
30,"MDB3-2",876579,2017-05-20 23:29:00
36,"MDB4-1",2147372,2017-05-20 23:29:00
32,"MDB4-2",81944994,2017-05-20 23:29:00
175,"MDB3-1",320537,2017-05-20 23:29:00
28,"MDB1-1",2442612,2017-05-20 23:29:00
25,"MDB7-1",1522974,2017-05-20 23:29:00
29,"MDB2-1",2248915,2017-05-20 23:28:00
33,"MDB2-3",7180164,2017-05-20 23:28:00
37,"MDB5-1",123224,2017-05-20 23:28:00
35,"MDB6-1",1880847,2017-05-20 23:28:00
31,"MDB2-2",1499844,2017-05-20 23:28:00
34,"MDB6-2",2439691,2017-05-20 23:28:00
30,"MDB3-2",876579,2017-05-20 23:28:00
32,"MDB4-2",81944974,2017-05-20 23:28:00
25,"MDB7-1",1522966,2017-05-20 23:28:00
28,"MDB1-1",2442597,2017-05-20 23:28:00
175,"MDB3-1",320530,2017-05-20 23:28:00
36,"MDB4-1",2147362,2017-05-20 23:28:00
29,"MDB2-1",2248904,2017-05-20 23:27:00
26,"MDB7-2",3896267,2017-05-20 23:27:00
33,"MDB2-3",7180162,2017-05-20 23:27:00
37,"MDB5-1",123224,2017-05-20 23:27:00
35,"MDB6-1",1880843,2017-05-20 23:27:00
34,"MDB6-2",2439688,2017-05-20 23:27:00
31,"MDB2-2",1499835,2017-05-20 23:27:00
175,"MDB3-1",320524,2017-05-20 23:27:00
32,"MDB4-2",81944955,2017-05-20 23:27:00
28,"MDB1-1",2442582,2017-05-20 23:27:00
36,"MDB4-1",2147354,2017-05-20 23:27:00
25,"MDB7-1",1522959,2017-05-20 23:27:00
30,"MDB3-2",876579,2017-05-20 23:27:00
26,"MDB7-2",3896262,2017-05-20 23:26:00
29,"MDB2-1",2248891,2017-05-20 23:26:00
34,"MDB6-2",2439686,2017-05-20 23:26:00
37,"MDB5-1",123223,2017-05-20 23:26:00
35,"MDB6-1",1880839,2017-05-20 23:26:00
31,"MDB2-2",1499827,2017-05-20 23:26:00
30,"MDB3-2",876579,2017-05-20 23:26:00
36,"MDB4-1",2147344,2017-05-20 23:26:00
25,"MDB7-1",1522952,2017-05-20 23:26:00
32,"MDB4-2",81944936,2017-05-20 23:26:00
175,"MDB3-1",320517,2017-05-20 23:26:00
28,"MDB1-1",2442567,2017-05-20 23:26:00
26,"MDB7-2",3896257,2017-05-20 23:25:00
33,"MDB2-3",7180158,2017-05-20 23:25:00
35,"MDB6-1",1880835,2017-05-20 23:25:00
31,"MDB2-2",1499819,2017-05-20 23:25:00
37,"MDB5-1",123222,2017-05-20 23:25:00
25,"MDB7-1",1522944,2017-05-20 23:25:00
28,"MDB1-1",2442552,2017-05-20 23:25:00
30,"MDB3-2",876579,2017-05-20 23:25:00
175,"MDB3-1",320510,2017-05-20 23:25:00
36,"MDB4-1",2147335,2017-05-20 23:25:00
32,"MDB4-2",81944916,2017-05-20 23:25:00
29,"MDB2-1",2248866,2017-05-20 23:24:00
26,"MDB7-2",3896250,2017-05-20 23:24:00
31,"MDB2-2",1499811,2017-05-20 23:24:00
37,"MDB5-1",123221,2017-05-20 23:24:00
33,"MDB2-3",7180156,2017-05-20 23:24:00
34,"MDB6-2",2439679,2017-05-20 23:24:00
175,"MDB3-1",320503,2017-05-20 23:24:00
32,"MDB4-2",81944897,2017-05-20 23:24:00
30,"MDB3-2",876579,2017-05-20 23:24:00
28,"MDB1-1",2442536,2017-05-20 23:24:00
36,"MDB4-1",2147326,2017-05-20 23:24:00
25,"MDB7-1",1522936,2017-05-20 23:24:00
29,"MDB2-1",2248853,2017-05-20 23:23:00
26,"MDB7-2",3896246,2017-05-20 23:23:00
34,"MDB6-2",2439676,2017-05-20 23:23:00
33,"MDB2-3",7180153,2017-05-20 23:23:00
37,"MDB5-1",123221,2017-05-20 23:23:00
31,"MDB2-2",1499801,2017-05-20 23:23:00
30,"MDB3-2",876579,2017-05-20 23:23:00
25,"MDB7-1",1522929,2017-05-20 23:23:00
28,"MDB1-1",2442521,2017-05-20 23:23:00
36,"MDB4-1",2147317,2017-05-20 23:23:00
32,"MDB4-2",81944878,2017-05-20 23:23:00
175,"MDB3-1",320496,2017-05-20 23:23:00
29,"MDB2-1",2248840,2017-05-20 23:22:00
26,"MDB7-2",3896239,2017-05-20 23:22:00
35,"MDB6-1",1880824,2017-05-20 23:22:00
34,"MDB6-2",2439673,2017-05-20 23:22:00
31,"MDB2-2",1499793,2017-05-20 23:22:00
37,"MDB5-1",123220,2017-05-20 23:22:00
32,"MDB4-2",81944859,2017-05-20 23:22:00
36,"MDB4-1",2147307,2017-05-20 23:22:00
30,"MDB3-2",876579,2017-05-20 23:22:00
175,"MDB3-1",320489,2017-05-20 23:22:00
25,"MDB7-1",1522921,2017-05-20 23:22:00
28,"MDB1-1",2442506,2017-05-20 23:22:00
29,"MDB2-1",2248827,2017-05-20 23:21:00
26,"MDB7-2",3896235,2017-05-20 23:21:00
31,"MDB2-2",1499785,2017-05-20 23:21:00
33,"MDB2-3",7180149,2017-05-20 23:21:00
37,"MDB5-1",123220,2017-05-20 23:21:00
28,"MDB1-1",2442491,2017-05-20 23:21:00
25,"MDB7-1",1522914,2017-05-20 23:21:00
32,"MDB4-2",81944840,2017-05-20 23:21:00
36,"MDB4-1",2147297,2017-05-20 23:21:00
30,"MDB3-2",876579,2017-05-20 23:21:00
175,"MDB3-1",320482,2017-05-20 23:21:00
29,"MDB2-1",2248814,2017-05-20 23:20:00
26,"MDB7-2",3896229,2017-05-20 23:20:00
33,"MDB2-3",7180147,2017-05-20 23:20:00
35,"MDB6-1",1880816,2017-05-20 23:20:00
175,"MDB3-1",320475,2017-05-20 23:20:00
32,"MDB4-2",81944820,2017-05-20 23:20:00
36,"MDB4-1",2147288,2017-05-20 23:20:00
28,"MDB1-1",2442477,2017-05-20 23:20:00
25,"MDB7-1",1522906,2017-05-20 23:20:00
30,"MDB3-2",876579,2017-05-20 23:20:00
29,"MDB2-1",2248800,2017-05-20 23:19:00
26,"MDB7-2",3896223,2017-05-20 23:19:00
33,"MDB2-3",7180145,2017-05-20 23:19:00
37,"MDB5-1",123218,2017-05-20 23:19:00
32,"MDB4-2",81944801,2017-05-20 23:19:00
30,"MDB3-2",876579,2017-05-20 23:19:00
36,"MDB4-1",2147278,2017-05-20 23:19:00
175,"MDB3-1",320469,2017-05-20 23:19:00
28,"MDB1-1",2442461,2017-05-20 23:19:00
25,"MDB7-1",1522899,2017-05-20 23:19:00
26,"MDB7-2",3896219,2017-05-20 23:18:00
31,"MDB2-2",1499759,2017-05-20 23:18:00
37,"MDB5-1",123218,2017-05-20 23:18:00
34,"MDB6-2",2439661,2017-05-20 23:18:00
33,"MDB2-3",7180142,2017-05-20 23:18:00
35,"MDB6-1",1880808,2017-05-20 23:18:00
175,"MDB3-1",320462,2017-05-20 23:18:00
25,"MDB7-1",1522892,2017-05-20 23:18:00
28,"MDB1-1",2442446,2017-05-20 23:18:00
30,"MDB3-2",876579,2017-05-20 23:18:00
36,"MDB4-1",2147268,2017-05-20 23:18:00
32,"MDB4-2",81944782,2017-05-20 23:18:00
29,"MDB2-1",2248775,2017-05-20 23:17:00
26,"MDB7-2",3896214,2017-05-20 23:17:00
34,"MDB6-2",2439658,2017-05-20 23:17:00
31,"MDB2-2",1499751,2017-05-20 23:17:00
37,"MDB5-1",123217,2017-05-20 23:17:00
35,"MDB6-1",1880804,2017-05-20 23:17:00
30,"MDB3-2",876579,2017-05-20 23:17:00
28,"MDB1-1",2442431,2017-05-20 23:17:00
32,"MDB4-2",81944762,2017-05-20 23:17:00
36,"MDB4-1",2147258,2017-05-20 23:17:00
25,"MDB7-1",1522884,2017-05-20 23:17:00
175,"MDB3-1",320455,2017-05-20 23:17:00
29,"MDB2-1",2248762,2017-05-20 23:16:00
26,"MDB7-2",3896208,2017-05-20 23:16:00
31,"MDB2-2",1499743,2017-05-20 23:16:00
33,"MDB2-3",7180138,2017-05-20 23:16:00
35,"MDB6-1",1880800,2017-05-20 23:16:00
36,"MDB4-1",2147248,2017-05-20 23:16:00
25,"MDB7-1",1522877,2017-05-20 23:16:00
30,"MDB3-2",876579,2017-05-20 23:16:00
32,"MDB4-2",81944743,2017-05-20 23:16:00
28,"MDB1-1",2442416,2017-05-20 23:16:00
175,"MDB3-1",320448,2017-05-20 23:16:00
26,"MDB7-2",3896203,2017-05-20 23:15:00
34,"MDB6-2",2439652,2017-05-20 23:15:00
37,"MDB5-1",123215,2017-05-20 23:15:00
35,"MDB6-1",1880796,2017-05-20 23:15:00
33,"MDB2-3",7180136,2017-05-20 23:15:00
31,"MDB2-2",1499734,2017-05-20 23:15:00
28,"MDB1-1",2442400,2017-05-20 23:15:00
32,"MDB4-2",81944724,2017-05-20 23:15:00
36,"MDB4-1",2147239,2017-05-20 23:15:00
25,"MDB7-1",1522869,2017-05-20 23:15:00
175,"MDB3-1",320441,2017-05-20 23:15:00
30,"MDB3-2",876579,2017-05-20 23:15:00
26,"MDB7-2",3896199,2017-05-20 23:14:00
33,"MDB2-3",7180134,2017-05-20 23:14:00
30,"MDB3-2",876579,2017-05-20 23:14:00
25,"MDB7-1",1522862,2017-05-20 23:14:00
36,"MDB4-1",2147229,2017-05-20 23:14:00
175,"MDB3-1",320434,2017-05-20 23:14:00
28,"MDB1-1",2442385,2017-05-20 23:14:00
32,"MDB4-2",81944705,2017-05-20 23:14:00
29,"MDB2-1",2248723,2017-05-20 23:13:00
26,"MDB7-2",3896193,2017-05-20 23:13:00
37,"MDB5-1",123214,2017-05-20 23:13:00
34,"MDB6-2",2439645,2017-05-20 23:13:00
31,"MDB2-2",1499717,2017-05-20 23:13:00
35,"MDB6-1",1880789,2017-05-20 23:13:00
30,"MDB3-2",876579,2017-05-20 23:13:00
32,"MDB4-2",81944686,2017-05-20 23:13:00
28,"MDB1-1",2442370,2017-05-20 23:13:00
